id,name,description,category,image_url,location
grandtheftauto,Grand Theft Auto,"An action-packed open-world adventure where players live through crime, chaos, and high-stakes missions across a sprawling city filled with side activities, rival gangs, and memorable characters.",Action,https://upload.wikimedia.org/wikipedia/en/a/a5/Grand_Theft_Auto_V.png,Playstation
nba-2k26,NBA 2k26,"A polished basketball experience with realistic gameplay, updated rosters, and exciting stadium atmosphere that brings the sport to life from the opening tip to the final buzzer.",Sports,https://image.api.playstation.com/vulcan/ap/rnd/202506/2518/e0807d63fe9452d5ec527b3491faa06b509e1eb7585fc780.jpg,Playstation
call-of-duty-black-ops-7,Call Of Duty Black Ops 7,"A fast-paced military shooter packed with modern weapons, tactical team play, and cinematic combat zones that reward quick thinking and strong teamwork.",Shooter,https://www.callofduty.com/content/dam/atvi/callofduty/cod-touchui/blog/body/bo7/beta-multiplayer-blog/BO7-MULTIPLAYER-OVERVIEW-TOUT.jpg,Playstation
fortnite,Fortnite,"A vibrant battle royale experience where players build, fight, and survive across a constantly changing island with creative tools, quick matches, and huge community events.",Shooter,https://i.ytimg.com/vi/Bmlg0hpPDu4/hq720.jpg?sqp=-oaymwEhCK4FEIIDSFryq4qpAxMIARUAAAAAGAElAADIQj0AgKJD&rs=AOn5CLDTLbHQOlBgrkbLfmwUEUoJAPtGUA,Playstation
college-football-27,College Football 27,"A high-energy football sim that delivers dynamic stadiums, realistic team play, and responsive controls for fans who want an exciting and authentic college gridiron experience.",Sports,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/dfd061cf-9724-4b16-83fa-6ed65556a6b5.jpg;maxHeight=1920;maxWidth=900?format=webp,Playstation
ufc-6,UFC 6,"An intense mixed martial arts game that focuses on realistic striking, dramatic matchups, and the pressure of championship-level cage action from start to finish.",Story,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/60258a4e-447e-48c7-b738-320d263b3157.jpg;maxHeight=828;maxWidth=400?format=webp,Playstation
roblox,ROBLOX,"A massive online platform where players can create, explore, and enjoy user-generated worlds, mini-games, and social experiences in almost any style imaginable.",Placeholder,https://i.ytimg.com/vi/zowmaH7hc5Q/hqdefault.jpg,Playstation
skate,SKATE,"An immersive skateboarding game that lets players pull off tricks, explore urban spaces, and build their own style through creative street sessions and challenges.",Placeholder,https://image.api.playstation.com/vulcan/ap/rnd/202604/2122/41d5a3beff5a2b0b9ac56b9b23869dad7821df71a60f4b02.png,Playstation
minecraft,Minecraft,"A creative sandbox adventure where players can build elaborate worlds, gather resources, and survive or explore in a nearly limitless block-based universe.",Placeholder,https://www.minecraft.net/content/dam/minecraftnet/games/minecraft/key-art/Homepage_Discover-our-games_MC-Vanilla-KeyArt_864x864.jpg,Playstation
watch-dogs-2,Watch Dogs 2,"An open-world hacking adventure set in a bright, tech-driven city where players use clever strategy, gadgets, and fast movement to challenge powerful corporations.",Placeholder,https://image.api.playstation.com/cdn/UP0001/CUSA04459_00/qBxvfDJJ9dbavai6xsWOcWaxRDGRb7h0.png,Playstation
